#V3.30
#C data file created using the SS_writedat function in the R package r4ss
#C should work with SS version:
#C file write time: 2021-03-10 15:23:42
#
1977 #_styr
2022 #_endyr
1 #_nseas
12 #_months_per_seas
2 #_Nsubseasons
1 #_spawn_month
1 #_Nsexes
10 #_Nages
1 #_N_areas
9 #_Nfleets
#_fleetinfo
#_type  surveytiming    area    units   need_catch_mult fleetname
1     -1    1   1   0   FshTrawl    #_1
1     -1    1   1   0   FshLL       #_2
1     -1    1   1   0   FshPot      #_3
3   1007    1   2   0   Srv         #_4
3   1007    1   2   0   LLSrv       #_5
3   1007    1   2   0   IPHCLL      #_6
3   1007    1   2   0   ADFG        #_7
3   1007    1   2   0   SPAWN       #_8
3   1007    1   2   0   Seine       #_9
#_Catch data
#_year  season  fleet   catch   catch_se
 -999   1   1         0 0.05    #_1         
 1977   1   1       653 0.05    #_4         
 1978   1   1      3263 0.05    #_5         
 1979   1   1      3790 0.05    #_6         
 1980   1   1      9851 0.05    #_7         
 1981   1   1     10485 0.05    #_8         
 1982   1   1      6680 0.05    #_9         
 1983   1   1      9512 0.05    #_10        
 1984   1   1      8806 0.05    #_11        
 1985   1   1      4876 0.05    #_12        
 1986   1   1      6851 0.05    #_13        
 1987   1   1     22487 0.05    #_14        
 1988   1   1     27145 0.05    #_15        
 1989   1   1     37638 0.05    #_16        
 1990   1   1     59190 0.05    #_17        
 1991   1   1   58101.5 0.05    #_18        
 1992   1   1   54762.2 0.05    #_19        
 1993   1   1   37809.5 0.05    #_20        
 1994   1   1   31446.7 0.05    #_21        
 1995   1   1     41875 0.05    #_22        
 1996   1   1   45990.5 0.05    #_23        
 1997   1   1   48405.9 0.05    #_24        
 1998   1   1   41569.6 0.05    #_25        
 1999   1   1   37174.7 0.05    #_26        
 2000   1   1   25456.9 0.05    #_27        
 2001   1   1   24386.2 0.05    #_28        
 2002   1   1   19810.2 0.05    #_29        
 2003   1   1   18885.5 0.05    #_30        
 2004   1   1   17512.6 0.05    #_31        
 2005   1   1   14549.2 0.05    #_32        
 2006   1   1   13131.8 0.05    #_33        
 2007   1   1   14775.4 0.05    #_34        
 2008   1   1   20293.4 0.05    #_35        
 2009   1   1   13976.2 0.05    #_36        
 2010   1   1   22035.2 0.05    #_37        
 2011   1   1   16456.3 0.05    #_38        
 2012   1   1   20084.1 0.05    #_39        
 2013   1   1     21706 0.05    #_40        
 2014   1   1   26916.7 0.05    #_41        
 2015   1   1   22268.1 0.05    #_42        
 2016   1   1   15217.4 0.05    #_43        
 2017   1   1   13041.1 0.05    #_44        
 2018   1   1   3817.98 0.05    #_45        
 2019   1   1   4534.53 0.05    #_46        
 2020   1   1   3427.15 0.05    #_47        
 2021   1   1   5989.22 0.05    #_48        
 2022   1   1   10968 0.05    #_49        
 -999   1   2         0 0.05    #_2         
 1977   1   2      1615 0.05    #_50        
 1978   1   2      8927 0.05    #_51        
 1979   1   2     11114 0.05    #_52        
 1980   1   2     25494 0.05    #_53        
 1981   1   2     25646 0.05    #_54        
 1982   1   2     22785 0.05    #_55        
 1983   1   2     27028 0.05    #_56        
 1984   1   2     15092 0.05    #_57        
 1985   1   2      9552 0.05    #_58        
 1986   1   2     18161 0.05    #_59        
 1987   1   2      9809 0.05    #_60        
 1988   1   2      5236 0.05    #_61        
 1989   1   2      5280 0.05    #_62        
 1990   1   2      7666 0.05    #_63        
 1991   1   2    7734.9 0.05    #_64        
 1992   1   2   15830.5 0.05    #_65        
 1993   1   2   8970.38 0.05    #_66        
 1994   1   2    6877.4 0.05    #_67        
 1995   1   2   11055.3 0.05    #_68        
 1996   1   2   10249.3 0.05    #_69        
 1997   1   2   12331.2 0.05    #_70        
 1998   1   2   11361.3 0.05    #_71        
 1999   1   2   13943.3 0.05    #_72        
 2000   1   2   13344.3 0.05    #_73        
 2001   1   2   12144.6 0.05    #_74        
 2002   1   2     16556 0.05    #_75        
 2003   1   2     12988 0.05    #_76        
 2004   1   2   13542.7 0.05    #_77        
 2005   1   2   8633.55 0.05    #_78        
 2006   1   2     11079 0.05    #_79        
 2007   1   2   12535.2 0.05    #_80        
 2008   1   2   14053.4 0.05    #_81        
 2009   1   2   17350.2 0.05    #_82        
 2010   1   2   21837.8 0.05    #_83        
 2011   1   2   23002.9 0.05    #_84        
 2012   1   2   20668.4 0.05    #_85        
 2013   1   2   15703.4 0.05    #_86        
 2014   1   2     19626 0.05    #_87        
 2015   1   2   16840.3 0.05    #_88        
 2016   1   2   10979.4 0.05    #_89        
 2017   1   2   9249.33 0.05    #_90        
 2018   1   2   3659.52 0.05    #_91        
 2019   1   2   3628.35 0.05    #_92        
 2020   1   2   1604.54 0.05    #_93        
 2021   1   2   5529.59 0.05    #_94        
 2022   1   2   8462 0.05    #_95        
 -999   1   3         0 0.05    #_3         
 1977   1   3         0 0.05    #_96        
 1978   1   3         0 0.05    #_97        
 1979   1   3         0 0.05    #_98        
 1980   1   3         0 0.05    #_99        
 1981   1   3         0 0.05    #_100       
 1982   1   3         0 0.05    #_101       
 1983   1   3         0 0.05    #_102       
 1984   1   3         0 0.05    #_103       
 1985   1   3         0 0.05    #_104       
 1986   1   3         0 0.05    #_105       
 1987   1   3       643 0.05    #_106       
 1988   1   3      1421 0.05    #_107       
 1989   1   3       375 0.05    #_108       
 1990   1   3      5661 0.05    #_109       
 1991   1   3   10464.1 0.05    #_110       
 1992   1   3   10154.4 0.05    #_111       
 1993   1   3   9707.62 0.05    #_112       
 1994   1   3   9160.54 0.05    #_113       
 1995   1   3   16054.9 0.05    #_114       
 1996   1   3   12040.1 0.05    #_115       
 1997   1   3   16433.2 0.05    #_116       
 1998   1   3   19693.8 0.05    #_117       
 1999   1   3   31424.6 0.05    #_118       
 2000   1   3   27750.2 0.05    #_119       
 2001   1   3   14999.6 0.05    #_120       
 2002   1   3   18271.2 0.05    #_121       
 2003   1   3     20708 0.05    #_122       
 2004   1   3   25568.3 0.05    #_123       
 2005   1   3   24401.6 0.05    #_124       
 2006   1   3   23686.3 0.05    #_125       
 2007   1   3   24950.4 0.05    #_126       
 2008   1   3   24667.2 0.05    #_127       
 2009   1   3   21869.9 0.05    #_128       
 2010   1   3     34720 0.05    #_129       
 2011   1   3   45907.5 0.05    #_130       
 2012   1   3   37177.9 0.05    #_131       
 2013   1   3   31166.5 0.05    #_132       
 2014   1   3   38402.4 0.05    #_133       
 2015   1   3   40372.1 0.05    #_134       
 2016   1   3   37857.7 0.05    #_135       
 2017   1   3   26436.5 0.05    #_136       
 2018   1   3   7672.92 0.05    #_137       
 2019   1   3   7552.92 0.05    #_138       
 2020   1   3   1809.34 0.05    #_139       
 2021   1   3   7657.11 0.05    #_140       
 2022   1   3   13381 0.05    #_141       
-9999   0   0         0    0    #_terminator
#_CPUE_and_surveyabundance_observations
#_Units:  0=numbers; 1=biomass; 2=F; >=30 for special types
#_Errtype:  -1=normal; 0=lognormal; >0=T
#_SD_Report: 0=no sdreport; 1=enable sdreport
#_Fleet Units   Errtype SD_Report
1    1  0   0   #_FshTrawl
2    1  0   0   #_FshLL   
3    1  0   0   #_FshPot  
4    0  0   0   #_Srv     
5    0  0   0   #_LLSrv   
6    0  0   0   #_IPHCLL  
7    0  0   0   #_ADFG    
8   33  0   0   #_SPAWN   
9   33  0   0   #_Seine   
#
#_CPUE_data
#_year  seas    index   obs se_log
 1984   7   -4    320525     0.155044   #_1         
 1985   7   -4         1            1   #_2         
 1986   7   -4         1            1   #_3         
 1987   7   -4    247020     0.183607   #_4         
 1988   7   -4         1            1   #_5         
 1989   7   -4         1            1   #_6         
 1990   7    4    212132     0.205501   #_7         
 1991   7   -4         1            1   #_8         
 1992   7   -4         1            1   #_9         
 1993   7    4    225480     0.191361   #_10        
 1994   7   -4         1            1   #_11        
 1995   7   -4         1            1   #_12        
 1996   7    4    319068      0.21261   #_13        
 1997   7   -4         1            1   #_14        
 1998   7   -4         1            1   #_15        
 1999   7    4    166584     0.111689   #_16        
 2000   7   -4         1            1   #_17        
 2001   7    4    158424     0.178359   #_18        
 2002   7   -4         1            1   #_19        
 2003   7    4    159749     0.128623   #_20        
 2004   7   -4         1            1   #_21        
 2005   7    4    139895     0.205581   #_22        
 2006   7   -4         1            1   #_23        
 2007   7    4    192306     0.173619   #_24        
 2008   7   -4         1            1   #_25        
 2009   7    4    573469     0.280651   #_26        
 2010   7   -4         1            1   #_27        
 2011   7    4    348035     0.175873   #_28        
 2012   7   -4         1            1   #_29        
 2013   7    4    337992     0.150883   #_30        
 2014   7   -4         1            1   #_31        
 2015   7    4    196555     0.119472   #_32        
 2016   7   -4         1            1   #_33        
 2017   7    4   56199.1     0.116207   #_34        
 2018   7   -4         1            1   #_35        
 2019   7    4    127118      0.24347   #_36        
 2020   7   -4         1            1   #_37        
 2021   7    4   90913.7    0.0866827   #_38        
 1990   7    5    116434      0.13899   #_39        
 1991   7    5    110061     0.140606   #_40        
 1992   7    5    136383    0.0866616   #_41        
 1993   7    5    153950     0.114114   #_42        
 1994   7    5     96563    0.0943429   #_43        
 1995   7    5    120710     0.100041   #_44        
 1996   7    5   84534.7     0.141059   #_45        
 1997   7    5    104647     0.168991   #_46        
 1998   7    5    125877     0.115302   #_47        
 1999   7    5   91480.2     0.113335   #_48        
 2000   7    5     54316     0.145482   #_49        
 2001   7    5     33841      0.18119   #_50        
 2002   7    5     51903      0.17019   #_51        
 2003   7    5   59951.7     0.150247   #_52        
 2004   7    5   53109.4     0.117739   #_53        
 2005   7    5   29863.6     0.213748   #_54        
 2006   7    5   34316.2      0.19658   #_55        
 2007   7    5     34994     0.139626   #_56        
 2008   7    5   26880.5     0.228264   #_57        
 2009   7    5   68394.6     0.137941   #_58        
 2010   7    5   86724.8     0.138366   #_59        
 2011   7    5   93743.3     0.141454   #_60        
 2012   7    5   63767.9     0.148153   #_61        
 2013   7    5   48552.9     0.162155   #_62        
 2014   7    5   69665.2      0.14334   #_63        
 2015   7    5   88482.3     0.159394   #_64        
 2016   7    5   83887.3     0.172051   #_65        
 2017   7    5   39575.2     0.100925   #_66        
 2018   7    5   23856.8     0.121074   #_67        
 2019   7    5   14932.7     0.185313   #_68        
 2020   7    5   19458.7     0.217917   #_69        
 2021   7    5   30829.8     0.161646   #_70        
 2022   7    5   23392.7     0.158673   #_71        
 1998   7   -6   16311.4     0.206917   #_72        
 1999   7   -6   12351.1     0.224424   #_73        
 2000   7   -6   14567.3     0.216834   #_74        
 2001   7   -6   12226.8     0.237813   #_75        
 2002   7   -6   16601.3     0.223576   #_76        
 2003   7   -6   15371.5     0.235251   #_77        
 2004   7   -6   16101.3      0.20143   #_78        
 2005   7   -6   16314.2     0.233719   #_79        
 2006   7   -6   15728.7     0.207725   #_80        
 2007   7   -6   18104.2     0.204649   #_81        
 2008   7   -6   22221.2     0.182238   #_82        
 2009   7   -6   30519.5     0.162619   #_83        
 2010   7   -6   28102.7     0.158238   #_84        
 2011   7   -6   31765.2     0.165415   #_85        
 2012   7   -6   23404.4     0.184186   #_86        
 2013   7   -6   26349.9     0.186755   #_87        
 2014   7   -6   27815.1     0.161351   #_88        
 2015   7   -6   18036.8     0.203573   #_89        
 2016   7   -6   11901.5      0.22265   #_90        
 2017   7   -6   10352.5     0.239559   #_91        
 2018   7   -6   13927.9     0.217042   #_92        
 2019   7   -6   13425.1     0.196861   #_93        
 2021   7   -6   17236.4      0.20331   #_94        
 1988   7   -7   2.74135    0.0925202   #_95        
 1989   7   -7   3.63385    0.0856821   #_96        
 1990   7   -7   2.71646    0.0803673   #_97        
 1991   7   -7   1.84707     0.137464   #_98        
 1992   7   -7   2.81369    0.0842018   #_99        
 1993   7   -7   2.27714    0.0854227   #_100       
 1994   7   -7   2.04439    0.0820591   #_101       
 1995   7   -7    2.2595     0.108511   #_102       
 1996   7   -7   2.29121    0.0853463   #_103       
 1997   7   -7   2.46823    0.0790037   #_104       
 1998   7   -7   2.22369    0.0849811   #_105       
 1999   7   -7   1.23291    0.0709415   #_106       
 2000   7   -7  0.958162    0.0768315   #_107       
 2001   7   -7  0.843107    0.0752975   #_108       
 2002   7   -7   1.06604       0.0692   #_109       
 2003   7   -7  0.855071    0.0790177   #_110       
 2004   7   -7   1.31028    0.0725366   #_111       
 2005   7   -7    1.0348    0.0920428   #_112       
 2006   7   -7  0.890366    0.0883366   #_113       
 2007   7   -7   1.06253    0.0799467   #_114       
 2008   7   -7   1.22842    0.0658164   #_115       
 2009   7   -7   1.23558    0.0695201   #_116       
 2010   7   -7   1.04725    0.0722429   #_117       
 2011   7   -7   1.34517    0.0700098   #_118       
 2012   7   -7     2.546    0.0897034   #_119       
 2013   7   -7   1.92035    0.0976639   #_120       
 2014   7   -7   1.31823    0.0973983   #_121       
 2015   7   -7   1.18954    0.0963255   #_122       
 2016   7   -7  0.819499     0.112028   #_123       
 2017   7   -7  0.865782     0.105886   #_124       
 2018   7   -7   1.13022    0.0968721   #_125       
 2019   7   -7  0.951604    0.0921749   #_126       
 2020   7   -7   1.34523    0.0901044   #_127       
 2021   7   -7   1.07784    0.0906299   #_128       
 2022   7   -7   1.12072     0.095573   #_129       
 1977   1   -8         1          0.2   #_130       
 1978   1   -8     0.383          0.2   #_131       
 1979   1   -8     0.415          0.2   #_132       
 1980   1   -8         1          0.2   #_133       
 1981   1   -8         1          0.2   #_134       
 1982   1   -8         1          0.2   #_135       
 1983   1   -8     0.304          0.2   #_136       
 1984   1   -8         1          0.2   #_137       
 1985   1   -8         1          0.2   #_138       
 1986   1   -8         1          0.2   #_139       
 1987   1   -8     0.256          0.2   #_140       
 1988   1   -8         1          0.2   #_141       
 1989   1   -8         1          0.2   #_142       
 1990   1   -8         1          0.2   #_143       
 1991   1   -8     0.411          0.2   #_144       
 1992   1   -8     0.304          0.2   #_145       
 1993   1   -8         1          0.2   #_146       
 1994   1   -8     0.331          0.2   #_147       
 1995   1   -8     0.379          0.2   #_148       
 1996   1   -8     0.401          0.2   #_149       
 1997   1   -8     0.385          0.2   #_150       
 1998   1   -8     0.203          0.2   #_151       
 1999   1   -8     0.368          0.2   #_152       
 2000   1   -8     0.317          0.2   #_153       
 2001   1   -8     0.249          0.2   #_154       
 2002   1   -8     0.334          0.2   #_155       
 2003   1   -8     0.187          0.2   #_156       
 2004   1   -8      0.34          0.2   #_157       
 2005   1   -8       0.3          0.2   #_158       
 2006   1   -8     0.298          0.2   #_159       
 2007   1   -8     0.403          0.2   #_160       
 2008   1   -8     0.358          0.2   #_161       
 2009   1   -8     0.366          0.2   #_162       
 2010   1   -8      0.29          0.2   #_163       
 2011   1   -8     0.326          0.2   #_164       
 2012   1   -8     0.401          0.2   #_165       
 2013   1   -8     0.338          0.2   #_166       
 2014   1   -8     0.288          0.2   #_167       
 2015   1   -8     0.189          0.2   #_168       
 2016   1   -8     0.186          0.2   #_169       
 2017   1   -8     0.286          0.2   #_170       
 2018   1   -8     0.253          0.2   #_171       
 2019   1   -8     0.184          0.2   #_172       
 2020   1   -8     0.287          0.2   #_173       
 2021   1   -8     0.278          0.2   #_174       
 2022   1   -8     0.353          0.2   #_175       
 1977   1   -9         1            1   #_176       
 1978   1   -9         1            1   #_177       
 1979   1   -9         1            1   #_178       
 1980   1   -9         1            1   #_179       
 1981   1   -9         1            1   #_180       
 1982   1   -9         1            1   #_181       
 1983   1   -9         1            1   #_182       
 1984   1   -9         1            1   #_183       
 1985   1   -9         1            1   #_184       
 1986   1   -9         1            1   #_185       
 1987   1   -9         1            1   #_186       
 1988   1   -9         1            1   #_187       
 1989   1   -9         1            1   #_188       
 1990   1   -9         1            1   #_189       
 1991   1   -9         1            1   #_190       
 1992   1   -9         1            1   #_191       
 1993   1   -9         1            1   #_192       
 1994   1   -9         1            1   #_193       
 1995   1   -9         1            1   #_194       
 1996   1   -9         1            1   #_195       
 1997   1   -9         1            1   #_196       
 1998   1   -9         1            1   #_197       
 1999   1   -9         1            1   #_198       
 2000   1   -9         1            1   #_199       
 2001   1   -9         1            1   #_200       
 2002   1   -9         1            1   #_201       
 2003   1   -9         1            1   #_202       
 2004   1   -9         1            1   #_203       
 2005   1   -9         1            1   #_204       
 2006   1   -9     118.3     0.298817   #_205       
 2007   1   -9       8.1      0.37284   #_206       
 2008   1   -9     29.52     0.335027   #_207       
 2009   1   -9     30.69     0.502444   #_208       
 2010   1   -9     11.71     0.471392   #_209       
 2011   1   -9     33.55     0.367511   #_210       
 2012   1   -9    187.89     0.334983   #_211       
 2013   1   -9      8.32     0.378606   #_212       
 2014   1   -9      8.82     0.482993   #_213       
 2015   1   -9      1.37     0.905109   #_214       
 2016   1   -9      1.95     0.466667   #_215       
 2017   1   -9     76.75     0.305277   #_216       
 2018   1   -9    110.89      0.21598   #_217       
 2019   1   -9      2.27     0.546256   #_218       
 2020   1   -9    194.27     0.276471   #_219       
 2021   1   -9     22.07      0.25691   #_220       
 2022   1   -9    124.91     0.262189   #_221       
-9999   0    0         0            0   #_terminator
0 #_N_discard_fleets
#_discard_units (1=same_as_catchunits(bio/num); 2=fraction; 3=numbers)
#_discard_errtype:  >0 for DF of T-dist(read CV below); 0 for normal with CV; -1 for normal with se; -2 for lognormal
#
#_discard_fleet_info
#
#_discard_data
#
#_meanbodywt
0 #_use_meanbodywt
 #_DF_for_meanbodywt_T-distribution_like
#
#_population_length_bins
2 # length bin method: 1=use databins; 2=generate from binwidth,min,max below; 3=read vector
1 # binwidth for population size comp
0.5 # minimum size in the population (lower edge of first bin and size at age 0.00)
116.5 # maximum size in the population (lower edge of last bin)
1 #_use_lencomp
#
#_len_info
#_mintailcomp   addtocomp   combine_M_F CompressBins    CompError   ParmSelect  minsamplesize
-1  1e-04   1   0   0   0   1   #_FshTrawl
-1  1e-04   1   0   0   0   1   #_FshLL   
-1  1e-04   1   0   0   0   1   #_FshPot  
-1  1e-04   1   0   0   0   1   #_Srv     
-1  1e-04   1   0   0   0   1   #_LLSrv   
-1  1e-04   1   0   0   0   1   #_IPHCLL  
-1  1e-04   1   0   0   0   1   #_ADFG    
-1  1e-04   1   0   0   0   1   #_SPAWN   
-1  1e-04   1   0   0   0   1   #_Seine   
117 #_N_lbins
#_lbin_vector
0.5 1.5 2.5 3.5 4.5 5.5 6.5 7.5 8.5 9.5 10.5 11.5 12.5 13.5 14.5 15.5 16.5 17.5 18.5 19.5 20.5 21.5 22.5 23.5 24.5 25.5 26.5 27.5 28.5 29.5 30.5 31.5 32.5 33.5 34.5 35.5 36.5 37.5 38.5 39.5 40.5 41.5 42.5 43.5 44.5 45.5 46.5 47.5 48.5 49.5 50.5 51.5 52.5 53.5 54.5 55.5 56.5 57.5 58.5 59.5 60.5 61.5 62.5 63.5 64.5 65.5 66.5 67.5 68.5 69.5 70.5 71.5 72.5 73.5 74.5 75.5 76.5 77.5 78.5 79.5 80.5 81.5 82.5 83.5 84.5 85.5 86.5 87.5 88.5 89.5 90.5 91.5 92.5 93.5 94.5 95.5 96.5 97.5 98.5 99.5 100.5 101.5 102.5 103.5 104.5 105.5 106.5 107.5 108.5 109.5 110.5 111.5 112.5 113.5 114.5 115.5 116.5 #_lbin_vector
#
#_lencomp
#_Year  Seas    FltSrv  Gender  Part    Nsamp   0.5 1.5 2.5 3.5 4.5 5.5 6.5 7.5 8.5 9.5 10.5    11.5    12.5    13.5    14.5    15.5    16.5    17.5    18.5    19.5    20.5    21.5    22.5    23.5    24.5    25.5    26.5    27.5    28.5    29.5    30.5    31.5    32.5    33.5    34.5    35.5    36.5    37.5    38.5    39.5    40.5    41.5    42.5    43.5    44.5    45.5    46.5    47.5    48.5    49.5    50.5    51.5    52.5    53.5    54.5    55.5    56.5    57.5    58.5    59.5    60.5    61.5    62.5    63.5    64.5    65.5    66.5    67.5    68.5    69.5    70.5    71.5    72.5    73.5    74.5    75.5    76.5    77.5    78.5    79.5    80.5    81.5    82.5    83.5    84.5    85.5    86.5    87.5    88.5    89.5    90.5    91.5    92.5    93.5    94.5    95.5    96.5    97.5    98.5    99.5    100.5   101.5   102.5   103.5   104.5   105.5   106.5   107.5   108.5   109.5   110.5   111.5   112.5   113.5   114.5   115.5   116.5
1977    1   1   0   0   27  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.00117989  0   0.00179075  0.00371687  0.00407899  0.0103473   0.0158556   0.0198293   0.0206026   0.0206882   0.0156184   0.0369079   0.0339014   0.0186688   0.0411535   0.0484426   0.060752    0.0450328   0.0544544   0.0895188   0.0458167   0.0357997   0.023632    0.03621 0.0319423   0.0152558   0.0124953   0.0252696   0.012636    0.000670756 0.01418 0.00499914  0.00473741  0.00319751  0.00965386  0.0235392   0.0101132   0.0167709   0.00707234  0.0269949   0.0144189   0.00148947  0.0128345   0.00896301  0.0214548   0.00901797  0.0119062   0.00207348  0.00796271  0   0.0063522   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   #_1
1978    1   1   0   0   13  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.000425322 0   0   0.00244219  0   0   0.00488437  0.00244219  0.00488437  0.00388771  0.00490959  0.0154445   0.00448427  0.00853893  0.0110092   0.00705133  0.00576673  0.00524248  0.00913019  0.0221408   0.0130962   0.0207521   0.019771    0.0234433   0.0236185   0.0294045   0.0210304   0.0386784   0.0360543   0.0297538   0.0335911   0.0480191   0.0409933   0.0434581   0.0330239   0.0313539   0.0229772   0.0215803   0.0350107   0.0347105   0.0246168   0.0289664   0.0305  0.0233725   0.0217496   0.0102267   0.0202024   0.0166611   0.0213801   0.0142222   0.0073325   0.0103295   0.00659401  0.00349252  0.00570985  0.00851548  0.00551989  0.00225798  0.00624494  0.00877408  0.00215565  0.000425322 0.00170779  0.0010925   0.00280029  0   0   0   0.000437528 0   0   0.00170779  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   #_2
1980    1   1   0   0   41  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.0135491   0   0   0   0   0   0   0   0.00639117  0   0   0   0.00639117  0.0127823   0.0192388   0.000478707 0.0193343   0.00748911  0.0161526   0.0138013   0.0426054   0.0352391   0.0576323   0.040791    0.0507885   0.0367149   0.0376227   0.0308575   0.0322822   0.0230574   0.0136286   0.0264179   0.0221118   0.0577282   0.0537891   0.0221386   0.00788336  0.0147808   0.00815466  0.0277637   0.00490336  0.0161317   0.00910185  0.0249554   0.00431115  0.022889    0.00314628  0.0100523   0.0208615   0.00939597  0.0167145   0.0153894   0.00886111  0.00173397  0.0118634   0.000723258 0.000939258 0.00694054  0.00668128  0.000696592 0.00800552  0.000368771 0.0066502   0.0117844   0.00639117  0.00652068  0   0   0   0   0.00639117  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   #_3
1981    1   1   0   0   17  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.026649    0.0319788   0.0245423   0.0199202   0.0130354   0.0328693   0.0490509   0.0684168   0.0454427   0.0236541   0.0480891   0.0917656   0.061575    0.0705432   0.0674261   0.0647284   0.0613929   0.0560944   0.0301184   0.0175752   0.0100803   0.0202476   6.28E-05    0.0115286   0.0023435   0.00791529  0   0.00732929  0   0.00404908  0   0.00809815  0   0   0   0.00802754  0.00444838  0   0   0   0   0   0   0.00668962  0.00431203  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   #_4
1982    1   1   0   0   34  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.00945191  0.00953543  0.0236298   0.0420156   0.0143449   0.0364895   0.0157908   0.00200225  0.00190599  0.0125803   0.0160943   0.0154447   0.00356243  0.0226108   0.0229503   0.0328016   0.0416578   0.0335468   0.0171593   0.0629734   0.0576976   0.0368524   0.0256606   0.0333891   0.0224344   0.0374975   0.03458 0.0409878   0.0279269   0.0273332   0.0286958   0.0295019   0.0378911   0.0112813   0.016761    0.00481112  0.00951542  0.00421383  0.0171851   0.020905    0.00911266  0.00800398  0.00583989  0.00152746  0.00155556  0.000967471 0.00086339  0.000806397 0   0.000296085 0.0069469   7.85E-05    0.000675259 0.000545912 0.000277596 9.01E-05    0.000365407 0   8.23E-05    0   9.01E-05    5.46E-05    0   0   0   9.71E-05    0   0   5.46E-05    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   #_5
1983    1   1   0   0   95  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   5.29E-05    0   7.75E-05    0.00107085  0   0.00101798  0.00109351  0.00210645  0.00452096  0.00190962  0.00270953  0.00740124  0.00560101  0.0286199   0.0147552   0.0244823   0.0056193   0.01677 0.0239075   0.0281222   0.0327509   0.0391003   0.0261961   0.0187143   0.0185267   0.0449089   0.0453688   0.053941    0.0555108   0.0285934   0.0317409   0.031059    0.0154995   0.0264532   0.0160669   0.0114486   0.0175827   0.026262    0.018951    0.0161014   0.0159438   0.0333966   0.00885175  0.0131917   0.0211885   0.0225561   0.0273417   0.00989143  0.0102867   0.0104827   0.0115001   0.0166817   0.00519626  0.00801576  0.00657316  0.00517907  0.00932832  0.00481661  0.00211037  0.0016861   0.000753826 0.00606934  0.00296508  0.000339423 0.000199511 0   0.000321153 8.33E-05    6.88E-05    0   0   0.000108603 0.000155093 0   0.000103286 0   0   0   0   0   0   0   0   0   0   0   0   0   0   #_6
1984    1   1   0   0   200 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   6.00E-05    1.00E-04    0.00019 0.00036 0.00061 0.00137 0.0012  0.00092 0.00132 0.00124 0.0024  0.00291 0.00319 0.00537 0.01045 0.01371 0.0173  0.02286 0.02415 0.03251 0.03512 0.04781 0.04917 0.04906 0.05463 0.05366 0.04597 0.0433  0.03785 0.03647 0.03157 0.02709 0.02411 0.02069 0.02146 0.0222  0.0189  0.01678 0.02223 0.01533 0.01625 0.01518 0.01685 0.01409 0.01177 0.01191 0.01131 0.01061 0.01005 0.00837 0.00765 0.00505 0.00629 0.00594 0.00491 0.00472 0.0051  0.00347 0.00264 0.00232 0.00197 0.00204 0.00132 0.00093 0.00143 0.00074 0.00027 0.00015 0.00056 0.00014 0.00014 2.00E-05    0   1.00E-05    0.00012 0   0   2.00E-05    0   0   0   0   0   0   0   0   0   1.00E-05    0   0   0   #_7
1985    1   1   0   0   170 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.00013 0   9.00E-05    0   0   9.00E-05    0.00013 0.00058 0.00104 0.00147 0.00159 0.00276 0.0027  0.0043  0.00473 0.0054  0.00432 0.00432 0.00572 0.00711 0.00846 0.00964 0.01732 0.01559 0.01964 0.02189 0.02289 0.01849 0.01941 0.01605 0.02037 0.01715 0.02219 0.02445 0.03414 0.04592 0.04619 0.04848 0.04441 0.05692 0.05139 0.04369 0.04074 0.03746 0.02771 0.02619 0.02646 0.01898 0.01466 0.01497 0.01025 0.00978 0.01115 0.00876 0.00714 0.00765 0.00835 0.00611 0.00411 0.00504 0.00435 0.00557 0.00517 0.00397 0.00439 0.00506 0.00249 0.00232 0.00385 0.00208 0.00095 0.0012  0.00021 0.00075 2.00E-04    0.00014 0.00047 0   0   0.00015 4.00E-05    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   #_8
